,title,year,rating,IMDB_rating,votes,metascore,countries,languages,actors,tagline,genres,imdb_url,director,budget_in_dollars,opening_week_us_in_dollars,gross_usa_in_dollars,world_wide_box_office_in_dollars,num_genres,num_languages,num_countries
10,The Adventures of Tintin,2011,PG,7.3,207389,68,"['USA', 'New Zealand', 'UK']",['English'],"['Jamie Bell', 'Andy Serkis', 'Daniel Craig', 'Nick Frost', 'Simon Pegg', 'Daniel Mays', 'Gad Elmaleh', 'Toby Jones', 'Joe Starr', 'Enn Reitel', 'Mackenzie Crook', 'Tony Curran', 'Sonje Fortag', 'Cary Elwes', 'Phillip Rhys']","This year, discover how far adventure will take you.","[' Animation', ' Action', ' Adventure', ' Family', ' Mystery']",https://www.imdb.com/title/tt0983193/,Steven Spielberg,135000000,9720993,77591831,373993951,5,1,3
11,Close Encounters of the Third Kind,1977,PG,7.6,172989,90,['USA'],"['English', 'French', 'Spanish', 'Hindi']","['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon', 'Bob Balaban', 'J. Patrick McNamara', 'Warren J. Kemmerling', 'Roberts Blossom', 'Philip Dodds', 'Cary Guffey', 'Shawn Bishop', 'Adrienne Campbell', 'Justin Dreyfuss', 'Lance Henriksen', 'Merrill Connally']",Now There Is More (USA 1980 special edition re-release),"[' Drama', ' Sci-Fi']",https://www.imdb.com/title/tt0075860/,Steven Spielberg,20000000,1767758,135189114,306898466,2,4,1
12,Always,1989,PG,6.4,26670,50,['USA'],['English'],"['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman', 'Audrey Hepburn', 'Roberts Blossom', 'Keith David', 'Ed Van Nuys', 'Marg Helgenberger', 'Dale Dye', 'Brian Haley', 'James Lashly', 'Michael Steve Jones', 'Kim Robillard', 'Jim Sparkman']",They couldn't hear him. They couldn't see him. But he was there when they needed him... Even after he was gone.,"[' Fantasy', ' Romance']",https://www.imdb.com/title/tt0096794/,Steven Spielberg,31000000,3713480,43858790,74134790,2,1,1
13,Amistad,1997,R,7.3,67685,63,['USA'],"['English', 'Mende', 'Spanish', 'Portuguese']","['Morgan Freeman', 'Nigel Hawthorne', 'Anthony Hopkins', 'Djimon Hounsou', 'Matthew McConaughey', 'David Paymer', 'Pete Postlethwaite', 'Stellan Skarsgård', 'Razaaq Adoti', 'Abu Bakaar Fofanah', 'Anna Paquin', 'Tomas Milian', 'Chiwetel Ejiofor', 'Derrick N. Ashong', 'Geno Silva']",A true story.,"[' Drama', ' History']",https://www.imdb.com/title/tt0118607/,Steven Spielberg,36000000,4573523,44229441,44229441,2,4,1
14,A.I. Artificial Intelligence,2001,PG-13,7.2,280214,65,"['USA', 'UK']",['English'],"['Haley Joel Osment', ""Frances O'Connor"", 'Sam Robards', 'Jake Thomas', 'Jude Law', 'William Hurt', 'Ken Leung', 'Clark Gregg', 'Kevin Sussman', 'Tom Gallop', 'Eugene Osment', 'April Grace', 'Matt Winston', 'Sabrina Grdevich', 'Theo Greenly']",Journey To A World Where Robots Dream And Desire,"[' Drama', ' Sci-Fi']",https://www.imdb.com/title/tt0212720/,Steven Spielberg,100000000,29352630,78616689,235926552,2,1,2
15,Catch Me If You Can,2002,PG-13,8.1,756736,75,"['USA', 'Canada']","['English', 'French']","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen', 'Nathalie Baye', 'Amy Adams', 'James Brolin', 'Brian Howe', 'Frank John Hughes', 'Steve Eastin', 'Chris Ellis', 'John Finn', 'Jennifer Garner', 'Nancy Lenehan', 'Ellen Pompeo']",Die wahre Story einer genialen Täschung. (The true story of an ingenious deception.),"[' Biography', ' Crime', ' Drama']",https://www.imdb.com/title/tt0264464/,Steven Spielberg,52000000,30053627,164615351,352114312,3,2,2
16,Lincoln,2012,PG-13,7.3,234268,86,"['USA', 'India']",['English'],"['Daniel Day-Lewis', 'Sally Field', 'David Strathairn', 'Joseph Gordon-Levitt', 'James Spader', 'Hal Holbrook', 'Tommy Lee Jones', 'John Hawkes', 'Jackie Earle Haley', 'Bruce McGill', 'Tim Blake Nelson', 'Joseph Cross', 'Jared Harris', 'Lee Pace', 'Peter McRobbie']",,[],https://www.imdb.com/title/tt0443272/,Steven Spielberg,65000000,944308,182207973,275293450,0,1,2
17,The BFG,2016,PG,6.4,72380,66,"['USA', 'India', 'UK']",['English'],"['Mark Rylance', 'Ruby Barnhill', 'Penelope Wilton', 'Jemaine Clement', 'Rebecca Hall', 'Rafe Spall', 'Bill Hader', 'Ólafur Darri Ólafsson', 'Adam Godley', 'Michael Adamthwaite', 'Daniel Bacon', 'Jonathan Holmes', 'Chris Gibbs', 'Paul Moniz de Sa', 'Marilyn Norry']","From the human beings that created E.T. and the author of ""Charlie and the Chocolate Factory"" and ""Matilda""","[' Adventure', ' Family', ' Fantasy']",https://www.imdb.com/title/tt3691740/,Steven Spielberg,140000000,18775350,55483770,183288689,3,1,3
18,Ready Player One,2018,PG-13,7.5,327373,64,"['USA', 'India']",['English'],"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn', 'Lena Waithe', 'T.J. Miller', 'Simon Pegg', 'Mark Rylance', 'Philip Zhao', 'Win Morisaki', 'Hannah John-Kamen', 'Ralph Ineson', 'Susan Lynch', 'Clare Higgins', 'Laurence Spellman', 'Perdita Weeks']",A better reality awaits.,"[' Action', ' Adventure', ' Sci-Fi']",https://www.imdb.com/title/tt1677720/,Steven Spielberg,175000000,41764050,137690172,582890172,3,1,2
19,The Terminal,2004,PG-13,7.3,378845,55,['USA'],"['English', 'Bulgarian', 'Spanish', 'Russian', 'Mandarin', 'German', 'French']","['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci', 'Chi McBride', 'Diego Luna', 'Barry Shabaka Henley', 'Kumar Pallana', 'Zoe Saldana', 'Eddie Jones', 'Jude Ciccolella', 'Corey Reynolds', 'Guillermo Díaz', 'Rini Bell', 'Stephen Mendel', 'Valeriy Nikolaev']",Life is waiting.,"[' Comedy', ' Drama', ' Romance']",https://www.imdb.com/title/tt0362227/,Steven Spielberg,60000000,19053199,77872883,218685607,3,7,1
20,Jaws,1975,PG,8.0,522031,87,['USA'],['English'],"['Roy Scheider', 'Robert Shaw', 'Richard Dreyfuss', 'Lorraine Gary', 'Murray Hamilton', 'Carl Gottlieb', 'Jeffrey Kramer', 'Susan Backlinie', 'Jonathan Filley', 'Ted Grossman', 'Chris Rebello', 'Jay Mello', 'Lee Fierro', 'Jeffrey Voorhees', 'Craig Kingsbury']",If you forgot what terror was like...it's back.,"[' Adventure', ' Drama', ' Thriller']",https://www.imdb.com/title/tt0073195/,Steven Spielberg,7000000,7061513,260000000,471203004,3,1,1
21,Close Encounters of the Third Kind,1977,PG,7.6,172989,90,['USA'],"['English', 'French', 'Spanish', 'Hindi']","['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon', 'Bob Balaban', 'J. Patrick McNamara', 'Warren J. Kemmerling', 'Roberts Blossom', 'Philip Dodds', 'Cary Guffey', 'Shawn Bishop', 'Adrienne Campbell', 'Justin Dreyfuss', 'Lance Henriksen', 'Merrill Connally']",Now There Is More (USA 1980 special edition re-release),"[' Drama', ' Sci-Fi']",https://www.imdb.com/title/tt0075860/,Steven Spielberg,20000000,1767758,135189114,306898466,2,4,1
22,Raiders of the Lost Ark,1981,PG,8.4,838221,85,['USA'],"['English', 'German', 'Hebrew', 'Spanish', 'Arabic', 'Nepali']","['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'Ronald Lacey', 'John Rhys-Davies', 'Denholm Elliott', 'Alfred Molina', 'Wolf Kahler', 'Anthony Higgins', 'Vic Tablian', 'Don Fellows', 'William Hootkins', 'Bill Reimbold', 'Fred Sorenson', 'Patrick Durkin']",The Return of the Great Adventure.,"[' Action', ' Adventure']",https://www.imdb.com/title/tt0082971/,Steven Spielberg,18000000,8305823,248159971,390133212,2,6,1
23,Always,1989,PG,6.4,26670,50,['USA'],['English'],"['Richard Dreyfuss', 'Holly Hunter', 'Brad Johnson', 'John Goodman', 'Audrey Hepburn', 'Roberts Blossom', 'Keith David', 'Ed Van Nuys', 'Marg Helgenberger', 'Dale Dye', 'Brian Haley', 'James Lashly', 'Michael Steve Jones', 'Kim Robillard', 'Jim Sparkman']",They couldn't hear him. They couldn't see him. But he was there when they needed him... Even after he was gone.,"[' Fantasy', ' Romance']",https://www.imdb.com/title/tt0096794/,Steven Spielberg,31000000,3713480,43858790,74134790,2,1,1
24,Hook,1991,PG,6.8,221211,52,['USA'],['English'],"['Dustin Hoffman', 'Robin Williams', 'Julia Roberts', 'Bob Hoskins', 'Maggie Smith', 'Caroline Goodall', 'Charlie Korsmo', 'Amber Scott', 'Laurel Cronin', 'Phil Collins', 'Arthur Malet', 'Isaiah Robinson', 'Jasen Fisher', 'Dante Basco', 'Raushan Hammond']",What if Peter Pan grew up?,"[' Adventure', ' Comedy', ' Family', ' Fantasy']",https://www.imdb.com/title/tt0102057/,Steven Spielberg,70000000,13522535,119654823,300854823,4,1,1
25,The Lost World: Jurassic Park,1997,PG-13,6.6,357405,59,['USA'],"['English', 'Spanish']","['Jeff Goldblum', 'Julianne Moore', 'Pete Postlethwaite', 'Arliss Howard', 'Richard Attenborough', 'Vince Vaughn', 'Vanessa Chester', 'Peter Stormare', 'Harvey Jason', 'Richard Schiff', 'Thomas F. Duffy', 'Joseph Mazzello', 'Ariana Richards', 'Thomas Rosales Jr.', 'Camilla Belle']",Something has survived,"[' Action', ' Adventure', ' Sci-Fi']",https://www.imdb.com/title/tt0119567/,Steven Spielberg,73000000,72132785,229086679,618638999,3,2,1
26,Minority Report,2002,PG-13,7.6,482350,80,['USA'],"['English', 'Swedish']","['Tom Cruise', 'Max von Sydow', 'Steve Harris', 'Neal McDonough', 'Patrick Kilpatrick', 'Jessica Capshaw', 'Richard Coca', 'Keith Campbell', 'Kirk B.R. Woller', 'Klea Scott', 'Frank Grillo', 'Anna Maria Horsford', 'Sarah Simmons', 'Eugene Osment', 'James Henderson']","What would you do if you were accused of a murder, you had not committed... yet?","[' Action', ' Crime', ' Mystery', ' Sci-Fi', ' Thriller']",https://www.imdb.com/title/tt0181689/,Steven Spielberg,102000000,35677125,132072926,358372926,5,2,1
27,Munich,2005,R,7.5,202736,74,"['France', 'Canada', 'USA']","['English', 'German', 'French', 'Hebrew', 'Arabic', 'Italian', 'Greek', 'Russian', 'Dutch']","['Eric Bana', 'Daniel Craig', 'Ciarán Hinds', 'Mathieu Kassovitz', 'Hanns Zischler', 'Ayelet Zurer', 'Geoffrey Rush', 'Gila Almagor', 'Michael Lonsdale', 'Mathieu Amalric', 'Moritz Bleibtreu', 'Valeria Bruni Tedeschi', 'Meret Becker', 'Marie-Josée Croze', 'Yvan Attal']",The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,"[' Drama', ' History', ' Thriller']",https://www.imdb.com/title/tt0408306/,Steven Spielberg,70000000,4152260,47403685,130358645,3,9,3
28,E.T. the Extra-Terrestrial,1982,PG,7.8,349774,91,['USA'],['English'],"['Dee Wallace', 'Henry Thomas', 'Peter Coyote', 'Robert MacNaughton', 'Drew Barrymore', 'K.C. Martel', 'Sean Frye', 'C. Thomas Howell', 'Erika Eleniak', ""David M. O'Dell"", 'Richard Swingler', 'Frank Toth', 'Robert Barton', 'Michael Darrell', 'David Berkson']",The mystery. The suspense. The adventure. The call... that started it all.,"[' Family', ' Sci-Fi']",https://www.imdb.com/title/tt0083866/,Steven Spielberg,10500000,11835389,435110554,792910554,2,1,1
29,The Color Purple,1985,PG-13,7.8,73475,78,['USA'],['English'],"['Danny Glover', 'Whoopi Goldberg', 'Margaret Avery', 'Oprah Winfrey', 'Willard E. Pugh', 'Akosua Busia', 'Desreta Jackson', 'Adolph Caesar', 'Rae Dawn Chong', 'Dana Ivey', 'Leonard Jackson', 'Bennet Guillory', 'John Patton Jr.', 'Carl Anderson', 'Susan Beaubian']",Alice Walker's Pulitzer Prize Winning Story.,[' Drama'],https://www.imdb.com/title/tt0088939/,Steven Spielberg,15000000,1710333,98467863,98467863,1,1,1
30,Empire of the Sun,1987,PG,7.8,108981,62,['USA'],"['English', 'Japanese', 'Mandarin', 'Shanghainese']","['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers', 'Joe Pantoliano', 'Leslie Phillips', 'Masatô Ibu', 'Emily Richard', 'Rupert Frazer', 'Peter Gale', 'Takatarô Kataoka', 'Ben Stiller', 'David Neidorf', 'Ralph Seymour', 'Robert Stephens']","To survive in a world at war, he must find a strength greater than all the events that surround him.","[' Action', ' Drama', ' History', ' War']",https://www.imdb.com/title/tt0092965/,Steven Spielberg,35000000,1314509,22238696,22238696,4,4,1
